Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2565356,-,b'West',b'Singapore',1.34,103.71,8,17,8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,unknown
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Fill Flag,Ozone,Solar Zenith Angle,Precipitable Water,Temperature,Dew Point,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Pressure,Wind Direction,Wind Speed
2018,1,1,0,0,0,0,0,7,0,0.25,152.69,6,26,25.5,0,0,0,97.26,0.16,1012,339,2.8000000000000003
2018,1,1,1,0,0,0,0,6,0,0.25,158.19,6,25.900000000000002,25.400000000000002,0,0,0,97.19,0.16,1011,341,3
2018,1,1,2,0,0,0,0,7,0,0.251,154.91,6,25.8,25.200000000000003,0,0,0,96.78,0.16,1010,345,3.2
2018,1,1,3,0,0,0,0,7,0,0.25,145.27,5.9,25.700000000000003,25.200000000000003,0,0,0,96.79,0.16,1010,347,3.2
2018,1,1,4,0,0,0,0,7,0,0.25,133.06,5.800000000000001,25.6,25,0,0,0,96.60000000000001,0.16,1010,348,3
2018,1,1,5,0,0,0,0,7,0,0.25,119.85000000000001,5.7,25.400000000000002,24.8,0,0,0,96.76,0.16,1010,345,2.6
2018,1,1,6,0,0,0,0,7,0,0.25,106.22,5.7,25.3,24.700000000000003,0,0,0,96.27,0.16,1011,337,2.4000000000000004
2018,1,1,7,0,0,0,0,7,0,0.251,92.45,5.6000000000000005,25.5,24.6,0,0,0,94.91,0.16,1011,327,2.4000000000000004
2018,1,1,8,0,65,368,138,9,3,0.23500000000000001,78.63,6.4,25.5,24.8,7,0,7,96.03,0.16,1008,359,2.2
2018,1,1,9,0,111,608,367,9,0,0.23600000000000002,65.07000000000001,6.5,25.8,25,17,0,17,95.21000000000001,0.16,1008,1,1.8
